first_name,last_name,actor_id
 Walter,Matthau,a52242
 Lou,Jacobi,a39444
Brad,Pitt,a62544
 Virginia,McCollam,a52722
 John,McConnell,a52740
Nick,Nolte,a58383
 Gwyneth,Paltrow,a60333
 Estelle,Eonnet,a26141
John G.,Brennan,a12472
 Kamal,Ahmed,a1095
 William,Hickey,a36495
Arnold,Schwarzenegger,a69362
 Emma,Thompson,a75791
 Laurence,Fishburne,a27918
 Blair,Underwood,a77598
Thomas Ian,Nicholas,a57976
 Joss,Ackland,a487
 Art,Malik,a50738
 Paloma,Baeza,a5632
 Nicolas,Cage,a14632
 Helen,Hunt,a38200
Mark,Hamill,a34364
 Harrison,Ford,a28446
 Carrie,Fisher,a27922
 Peter,Cushing,a20946
Winona,Ryder,a67611
 Trini,Alvarado,a2449
Liesel,Matthews,a52271
 Eleanor,Bron,a12911
 Liam,Cunningham,a20818
 Rusty,Schwimmer,a69380
Crissy,Rock,a66279
 Vladimir,Vega,a78174
 Sandie,Lavelle,a46764
 Mauricio,Venegas,a78267
Emmanuelle,Béart,a14476
 François,Cluzet,a18629
 Nathalie,Cardone,a15376
 André,Wilms,a81131
Marco,Leonardi,a47682
 Lumi,Cavazos,a16363
 Regina,Torné,a76516
 Mario Iván,Martínez,a51844
 Anthony,Hopkins,a37458
Damon,Wayans,a79924
 Michael,Ironside,a38999
 Bam Bam,Bigelow,a9657
 Joseph,Blaire,a10228
Tim,Roth,a67002
 Vanessa,Redgrave,a64793
Angel,Aviles,a5109
 Seidy,Lopez,a49091
 Jacob,Vargas,a78032
N/A,Devine,a22961
Warren,Beatty,a7782
 Katharine,Hepburn,a36209
 Garry,Shandling,a70186
Jessica,Lange,a46368
 David,Strathairn,a73731
